event,formula,a,b
TRACK_100,AU_track,29550,1881.5
TRACK_100H,AU_track,23955.3,747.9
TRACK_100H,AU_track,23955.3,747.9
TRACK_1000,AU_track,317523.3,1285
TRACK_110H,AU_track,23955.3,747.9
TRACK_150,AU_track,38003.1,1486
TRACK_1500,AU_track,489971.4,1224.7
TRACK_200,AU_track,52611.4,1547.1
TRACK_300,AU_track,81710.5,1473.6
TRACK_3000,AU_track,1077300,1234.9
TRACK_3000SC,AU_track,1048695.7,1008.9
TRACK_35,AU_track,12020.6,1813.6
TRACK_4x100,AU_track,118175.1,1880.65
TRACK_4x200,AU_track,210287.2,1545.1
TRACK_4x400,AU_track,446880,1429.25
TRACK_40,AU_track,13826.6,1860.5
TRACK_400,AU_track,111960,1433.5
TRACK_400H,AU_track,96830.9,912.8
TRACK_50,AU_track,16844.4,1927.1
TRACK_50H,AU_track,16606.5,1504.5
TRACK_5000,AU_track,1786833.9,1145
TRACK_60,AU_track,19942.4,1983.8
TRACK_60H,AU_track,22564.2,1795
TRACK_600,AU_track,181894.7,1341
TRACK_80H,AU_track,23955.3,747.9
TRACK_800,AU_track,248544,1323.2
DISCUS_THROW,au_field,249.8,893.5
WEIGHT_THROW,au_field,333.5,539
TRIPLE_JUMP,au_field,762.9,2074.5
HIGH_JUMP,au_field,2440,2593.5
HAMMER_THROW,au_field,197.3,591.8
SHOT_PUT,au_field,462.5,1001.8
POLE_VAULT,au_field,1040,1272.5
JAVELIN_THROW,au_field,190.2,711.3
LONG_JUMP,au_field,1094.4,2075.3
TRACK_SWEDISH,au_track,247800,1126