event,formula,a,b,c
TRACK_100,hungarian_track,24.6422116633,-16.9975315583,-0.218662048
TRACK_200,hungarian_track,5.0833296257,-35.4911115974,0.0957410215
TRACK_300,hungarian_track,1.8296570247,-57.1976881434,-0.0553585925
TRACK_400,hungarian_track,1.0210130426,-78.9946930564,0.0029880052
TRACK_600,hungarian_track,0.366986774,-130.9961594799,-0.0103075994
TRACK_800,hungarian_track,0.1980049254,-181.9938575678,0.0091543669
TRACK_1000,hungarian_track,0.1074010815,-239.9941856026,0.0042507048
TRACK_1500,hungarian_track,0.0406599253,-384.9950051367,0.001205591
TRACK_1MILE,hungarian_track,0.0350996776,-414.9960661793,-0.0028258109
TRACK_2000,hungarian_track,0.0218100318,-527.9948241122,0.0001703359
TRACK_3000,hungarian_track,0.0081500499,-839.9938439226,0.0015204438
TRACK_2MILES,hungarian_track,0.0070299885,-904.7954323334,-0.0009453377
TRACK_5000,hungarian_track,0.0027779979,-1439.9953256617,-0.0004296371
TRACK_10000,hungarian_track,0.0005239994,-3149.9962170853,-0.0004979093
TRACK_110H,hungarian_track,7.6652061276,-25.7930225928,0.0141087786
TRACK_400H,hungarian_track,0.5459888468,-95.4953371509,0.0002166679
TRACK_2000SC,hungarian_track,0.0102299858,-659.995283744,-0.0004264088
TRACK_3000SC,hungarian_track,0.0043159973,-1019.9952251094,-0.0005178463
TRACK_4x100,hungarian_track,1.2360320754,-69.4946755547,0.0020228151
TRACK_4x200,hungarian_track,0.2976775548,-143.9939035213,0.0118168894
TRACK_4x400,hungarian_track,0.0502588314,-333.9973041754,-0.0080115351
ROAD_10MILES,hungarian_track,0.0001852499,-5249.101364751,0.1014745309
ROAD_10KM,hungarian_track,0.000528755,-3149.1524016199,0.0690327319
ROAD_15KM,hungarian_track,0.0002161981,-4867.5076944338,-0.0026187446
ROAD_20KM,hungarian_track,0.0001147009,-6628.4786813353,0.0058310275
ROAD_25KM,hungarian_track,0.0000676515,-8535.4393562416,0.0146077104
ROAD_30KM,hungarian_track,0.00004353,-10530.5042235755,-0.0010360804
ROAD_100KM,hungarian_track,0.000001765,-48599.6069691841,-0.0015614538
ROAD_HALF_MARATHON,hungarian_track,0.000102005,-7019.4133397892,0.0119952047
ROAD_MARATHON,hungarian_track,0.0000191003,-15599.4039272134,0.0084789663
WALK_3KM,hungarian_track,0.0012098241,-1649.4765816626,-0.0505185382
WALK_5KM,hungarian_track,0.0004362569,-2759.0822412767,0.1020221477
WALK_10KM,hungarian_track,0.0001117981,-5579.5315898026,-0.0080979259
WALK_20KM,hungarian_track,0.0000273504,-11399.4559313645,0.0012286251
WALK_30KM,hungarian_track,0.0000089299,-19109.6015775776,-0.0054860378
WALK_35KM,hungarian_track,0.0000057601,-23399.3873516061,0.0029317504
WALK_50KM,hungarian_track,0.000002124,-37199.5521047347,-0.0008918298
HIGH_JUMP,hungarian_field,32.1457081634,11.5936889433,-5026.0808417004
LONG_JUMP,hungarian_field,1.931092873,48.3486190515,-4993.8077931235
TRIPLE_JUMP,hungarian_field,0.4603666024,98.8014630138,-5008.9686647032
DISCUS_THROW,hungarian_field,0.0040063129,2232.9834114813,-20003.5249226571
HAMMER_THROW,hungarian_field,0.0028034429,2669.7566381795,-20002.8716570753
JAVELIN_THROW,hungarian_field,0.0024031525,2879.7978639657,-19950.9683606244
POLE_VAULT,hungarian_field,3.0457199209,39.335860309,-4993.2138282251
SHOT_PUT,hungarian_field,0.0423461436,684.8281542324,-19915.7245727669
DECATHLON,hungarian_field,0.0000009772,71186.6785041732,-5001.0472144005