event,formula,a,b,c,y
TRACK_100,mercier_track,290.52712,1953.2266,0,1
TRACK_110H,mercier_track,232.393146,977.72885,0,1
TRACK_150,mercier_track,265.3031224,1720.7734,0,1
TRACK_200,mercier_track,267.75893,1703.6447,0,1
TRACK_300,mercier_track,251.7769577,1414.90071,0,1
TRACK_4x100,mercier_track,245.0813673,1628.30697,0,1
TRACK_400,mercier_track,262.37121,1402.7708,0,1
TRACK_400H,mercier_track,234.92702,990.21339,0,1
TRACK_600,mercier_track,285.7637,1371.563558,0,1
TRACK_4x200,mercier_track,241.4398269,1518.38338,0,1
TRACK_800,mercier_track,302.9089,1377.5673,0,1
TRACK_1000,mercier_track,313.6503268,1374.25166,0,1
TRACK_1500,mercier_track,320.6038,1314.0045,0,1
TRACK_4x400,mercier_track,247.86975,1278.59492,0,1
TRACK_1MILE,mercier_track,321.7731201,1306.285127,0,1
TRACK_2000,mercier_track,328.2988442,1303.430804,0,1
TRACK_3000,mercier_track,331.264214,1240.294895,0,1
TRACK_3000 SC,mercier_track,317.0980312,977.0359001,0,1
TRACK_4x800,mercier_track,296.3578751,1312.011563,0,1
TRACK_2MILES,mercier_track,333.4505158,1241.705275,0,1
TRACK_5000,mercier_track,342.8535,1234.1959,0,1
TRACK_4x1500,mercier_track,313.8633755,1249.910031,0,1
ROAD_6KM,mercier_track,344.0777994,1217.284313,0,1
TRACK_4x1MILE,mercier_track,320.9250438,1265.20903,0,1
ROAD_8KM,mercier_track,348.6258257,1192.426848,0,1
ROAD_5MILES,mercier_track,348.6863013,1192.028614,0,1
TRACK_10000,mercier_track,349.8535,1171.2847,0,1
ROAD_12KM,mercier_track,349.3267912,1145.168771,0,1
ROAD_15KM,mercier_track,359.2341424,1166.68182,0,1
ROAD_10MILES,mercier_track,360.6890152,1164.451907,0,1
ROAD_20KM,mercier_track,365.1247474,1169.952487,0,1
WALK_20KM,mercier_track,514.2338335,1188.463045,0,1
ROAD_25KM,mercier_track,366.3739581,1168.783894,0,1
ROAD_30KM,mercier_track,370.5115627,1167.252147,0,1
ROAD_HALF_MARATHON,mercier_track,366.3739581,1168.783894,0,1
ROAD_MARATHON,mercier_track,384.5408,1161.8021,0,1
WALK_50KM,mercier_track,578.7732604,1157.14858,0,1
DISCUS_THROW,mercier_field,194.62465,628.31962,0,1
HAMMER_THROW,mercier_field,166.9675,537.76945,0,1
HIGH_JUMP,mercier_field,2227.856,2447.9277,0,1
JAVELIN_THROW,mercier_field,168.13381,601.71996,0,1
LONG_JUMP,mercier_field,1065.6947,2120.1067,0,1
POLE_VAULT,mercier_field,839.81066,1065.4477,0,1
SHOT_PUT,mercier_field,363.768931,701.8195151,0,1
TRIPLE_JUMP,mercier_field,717.9505,2042.6637,0,1
DECATHLON,mercier_multi,0.1037911,-81.780218,0,1