event,formula,a,b,c,y
TRACK_100,mercier_track,290.52712,1953.2266,370.23683,1.10218405
TRACK_100H,mercier_track,245.697911,974.427319,0,1
TRACK_150,mercier_track,265.3031224,1720.7734,370.23683,1.10218405
TRACK_200,mercier_track,267.75893,1703.6447,370.23683,1.10218405
TRACK_300,mercier_track,251.7769577,1414.90071,370.23683,1.10218405
TRACK_400,mercier_track,262.37121,1402.7708,370.23683,1.10218405
TRACK_400H,mercier_track,235.892182,772.912406,0,1
TRACK_600,mercier_track,285.7637,1371.563558,370.23683,1.10218405
TRACK_4x200,mercier_track,241.4398269,1518.38338,370.23683,1.10218405
TRACK_800,mercier_track,302.9089,1377.5673,370.23683,1.10218405
TRACK_1000,mercier_track,313.6503268,1374.25166,370.23683,1.10218405
TRACK_1500,mercier_track,320.6038,1314.0045,370.23683,1.10218405
TRACK_1MILE,mercier_track,321.7731201,1306.285127,370.23683,1.10218405
TRACK_2000,mercier_track,328.2988442,1303.430804,370.23683,1.10218405
TRACK_3000,mercier_track,331.264214,1240.294895,370.23683,1.10218405
TRACK_3000SC,mercier_track,308.3188307,700.8207684,0,1
TRACK_4x800,mercier_track,296.3578751,1312.011563,370.23683,1.10218405
TRACK_2MILES,mercier_track,333.4505158,1241.705275,370.23683,1.10218405
TRACK_5000,mercier_track,342.8535,1234.1959,370.23683,1.10218405
TRACK_4x1500,mercier_track,313.8633755,1249.910031,370.23683,1.10218405
ROAD_6KM,mercier_track,344.0777994,1217.284313,370.23683,1.10218405
TRACK_4x1MILE,mercier_track,320.9250438,1265.20903,370.23683,1.10218405
ROAD_8KM,mercier_track,348.6258257,1192.426848,370.23683,1.10218405
ROAD_5MILES,mercier_track,348.6863013,1192.028614,370.23683,1.10218405
TRACK_10000,mercier_track,349.8535,1171.2847,370.23683,1.10218405
WALK_10KM,mercier_track,456.1325749,818.4565095,0,1
ROAD_12KM,mercier_track,349.3267912,1145.168771,370.23683,1.10218405
ROAD_15KM,mercier_track,359.2341424,1166.68182,370.23683,1.10218405
ROAD_10MILES,mercier_track,360.6890152,1164.451907,370.23683,1.10218405
ROAD_20KM,mercier_track,365.1247474,1169.952487,370.23683,1.10218405
ROAD_25KM,mercier_track,366.3739581,1168.783894,370.23683,1.10218405
ROAD_30KM,mercier_track,370.5115627,1167.252147,370.23683,1.10218405
ROAD_HALF_MARATHON,mercier_track,366.3739581,1168.783894,370.23683,1.10218405
ROAD_MARATHON,mercier_track,384.5408,1161.8021,370.23683,1.10218405
DISCUS_THROW,mercier_field,163.07395,361.92521,0,1
HAMMER_THROW,mercier_field,155.50271,364.68208,0,1
HIGH_JUMP,mercier_field,2227.856,2447.9277,370.23683,1.10218405
JAVELIN_THROW,mercier_field,170.11116,417.375499,0,1
LONG_JUMP,mercier_field,1065.6947,2120.1067,370.23683,1.10218405
POLE_VAULT,mercier_field,839.81066,1065.4477,370.23683,1.10218405
SHOT_PUT,mercier_field,326.4432919,474.3020648,0,1
TRIPLE_JUMP,mercier_field,717.9505,2042.6637,370.23683,1.10218405
HEPTATHLON,mercier_multi,0.12948997,-133.9909428,0,1